Park Code,State(s),Park Name,Designation,Latitude,Longitude,Coordinates,Fee (USD),Fee Type,Fee Description
blca,CO,Black Canyon Of The Gunnison National Park,National Park,38.57779869,-107.7242756,"lat:38.57779869, long:-107.7242756",$30.00,Entrance - Non-commercial Groups,"Non-commercial vehicles with a vehicle capacity of 15 or fewer: $30.00 per vehicle, regardless of the number of passengers."
blca,CO,Black Canyon Of The Gunnison National Park,National Park,38.57779869,-107.7242756,"lat:38.57779869, long:-107.7242756",$15.00,Entrance - Non-commercial Groups,Non-commercial vehicles with a vehicle capacity of 16 or greater: $15.00 per passenger (including driver). Fees will not exceed the commercial fee for the same-sized vehicle. Youth 15 and under are free. Individuals or families with any valid Annual or Lifetime pass may use their pass for entry at the per-person rate. Pass and photo ID must be presented upon entry.
colm,CO,Colorado National Monument,National Monument,39.05045016,-108.6920709,"lat:39.05045016, long:-108.6920709",$25.00,Entrance - Private Vehicle,"$25 for a private vehicle. Unlimited entry for one vehicle and all its passengers for seven consecutive days, beginning on the day of purchase. Private vehicle must be non-commercial and with a seating capacity of 15 or less."
colm,CO,Colorado National Monument,National Monument,39.05045016,-108.6920709,"lat:39.05045016, long:-108.6920709",$20.00,Entrance - Motorcycle,This pass is good for 7 days.
colm,CO,Colorado National Monument,National Monument,39.05045016,-108.6920709,"lat:39.05045016, long:-108.6920709",$15.00,Entrance - Per Person,This pass is good for 7 days for an individual who is walking or bicycling into the monument.
colm,CO,Colorado National Monument,National Monument,39.05045016,-108.6920709,"lat:39.05045016, long:-108.6920709",$15.00,Entrance - Non-commercial Groups,"Organized groups such as Scouts, Rotary, Hiking Clubs, Youth Groups, Religious Institutions, etc. that do not qualify for an Academic Fee Waiver are charged as follows:  $15 per person, not to exceed the equivalent commercial rate.  Passes are valid for 7 days.  Youth ages 15 and under are free.  Individuals or families in the group may use any valid Annual or Lifetime pass for entry.  Pass and photo ID must be presented."
colm,CO,Colorado National Monument,National Monument,39.05045016,-108.6920709,"lat:39.05045016, long:-108.6920709",$0.00,Entrance - Education/Academic Groups,Groups entering the park for educational purposes (curriculum-based classes or activities) may be eligible for a free academic fee wavier.  Email COLM_permits@nps.gov to apply for a waiver or for more information.
colm,CO,Colorado National Monument,National Monument,39.05045016,-108.6920709,"lat:39.05045016, long:-108.6920709",$25.00,Commercial Entrance - Sedan,"Cost:  $25, plus $15 per person to a maximum of $40.  The entry fees for commercial tours are based on the total capacity of vehicles that carry 7 or more people, regardless of the actual number of passengers.  Possession of an annual or lifetime pass, or the ages of the passengers, does not affect the price charged unless the vehicle's capacity is less than 7 passengers, excluding the driver."
colm,CO,Colorado National Monument,National Monument,39.05045016,-108.6920709,"lat:39.05045016, long:-108.6920709",$40.00,Commercial Entrance - Van,"The entry fees for commercial tours are based on the total capacity of vehicles that carry 7 or more people, regardless of the actual number of passengers.  Possession of an annual or lifetime pass, or the ages of the passengers, does not affect the price charged unless the vehicle's capacity is less than 7 passengers, excluding the driver."
colm,CO,Colorado National Monument,National Monument,39.05045016,-108.6920709,"lat:39.05045016, long:-108.6920709",$40.00,Commercial Entrance - Mini-bus,"The entry fees for commercial tours are based on the total capacity of vehicles that carry 7 or more people, regardless of the actual number of passengers.  Possession of an annual or lifetime pass, or the ages of the passengers, does not affect the price charged unless the vehicle's capacity is less than 7 passengers, excluding the driver."
colm,CO,Colorado National Monument,National Monument,39.05045016,-108.6920709,"lat:39.05045016, long:-108.6920709",$100.00,Commercial Entrance - Motor Coach,"The entry fees for commercial tours are based on the total capacity of vehicles that carry 7 or more people, regardless of the actual number of passengers.  Possession of an annual or lifetime pass, or the ages of the passengers, does not affect the price charged unless the vehicle's capacity is less than 7 passengers, excluding the driver."
cure,CO,Curecanti National Recreation Area,National Recreation Area,38.46584558,-107.3303371,"lat:38.46584558, long:-107.3303371",$0.00,No Fee,This location does not charge an entrance fee.
dino,"CO,UT",Dinosaur National Monument,National Monument,40.50739742,-108.9333714,"lat:40.50739742, long:-108.9333714",$25.00,Entrance - Private Vehicle,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all its occupants. Admission is good for seven consecutive days. You can come and go any time with your seven-day pass."
dino,"CO,UT",Dinosaur National Monument,National Monument,40.50739742,-108.9333714,"lat:40.50739742, long:-108.9333714",$20.00,Entrance - Motorcycle,"Admits all riders on a private, non-commercial motorcycle. Admission is good for seven consecutive days. You can come and go any time with your seven-day pass."
dino,"CO,UT",Dinosaur National Monument,National Monument,40.50739742,-108.9333714,"lat:40.50739742, long:-108.9333714",$15.00,Entrance - Per Person,"Admits one individual with no car. Typically used for bicyclists, hikers, and pedestrians. Youth 15 and under are admitted free. Admission is good for seven consecutive days. You can come and go any time with your seven-day pass."
dino,"CO,UT",Dinosaur National Monument,National Monument,40.50739742,-108.9333714,"lat:40.50739742, long:-108.9333714",$50.00,Commercial Entrance - Van,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Fees for commercial tours are based upon the total capacity of vehicle regardless of actual number of passengers."
dino,"CO,UT",Dinosaur National Monument,National Monument,40.50739742,-108.9333714,"lat:40.50739742, long:-108.9333714",$60.00,Commercial Entrance - Mini-bus,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Fees for commercial tours are based upon the total capacity of vehicle regardless of actual number of passengers."
dino,"CO,UT",Dinosaur National Monument,National Monument,40.50739742,-108.9333714,"lat:40.50739742, long:-108.9333714",$150.00,Commercial Entrance - Motor Coach,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Fees for commercial tours are based upon the total capacity of vehicle regardless of actual number of passengers."
dino,"CO,UT",Dinosaur National Monument,National Monument,40.50739742,-108.9333714,"lat:40.50739742, long:-108.9333714",$25.00,Entrance - Non-commercial Groups,"Non-commercial group fees (per vehicle): 
Vehicle capacity of 15 or less: $25 
Vehicle capacity of 16-25: $15 per person age 16 and older, not to exceed $60. 
Vehicle capacity of 26+: $15 per person age 16 and older, not to exceed $150. 
You may use Annual and Lifetime passes. A pass will cover the pass holder and up to three people traveling with the group.
Pass is valid for reentry for 7 days."
dino,"CO,UT",Dinosaur National Monument,National Monument,40.50739742,-108.9333714,"lat:40.50739742, long:-108.9333714",$0.00,Entrance - Education/Academic Groups,"National Park Service regulations allow school groups and other bona fide national and international academic institutions to obtain a waiver for park entrance fees, provided that the visit is for educational or scientific purposes, and the resources or facilities the group proposes to use support those purposes.

Fee waivers must be obtained in advance and cannot be issued at the entrance station or visitor center."
dino,"CO,UT",Dinosaur National Monument,National Monument,40.50739742,-108.9333714,"lat:40.50739742, long:-108.9333714",$25.00,Commercial Entrance - Sedan,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Fees for commercial tours are based upon the total capacity of vehicle regardless of actual number of passengers."
dino,"CO,UT",Dinosaur National Monument,National Monument,40.50739742,-108.9333714,"lat:40.50739742, long:-108.9333714",$15.00,Commercial Entrance - Per Person,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. (minimum required fee is $25 commercial fee plus the per-person entrance fee for each passenger not to exceed $50.00)"
flfo,CO,Florissant Fossil Beds National Monument,National Monument,38.91260586,-105.2803396,"lat:38.91260586, long:-105.2803396",$10.00,Entrance - Per Person,"$10 per adult (age 16 or older). Admission is good for 7 days. Children ages 15 or under are admitted free. Fee covers entrance to all areas of the park including visitor center exhibits, film, outdoor exhibit area, hiking trails, picnic areas, Hornbek Homestead, self-guided tours, and ranger programs."
grsa,CO,Great Sand Dunes National Park & Preserve,National Park & Preserve,37.79256812,-105.5919572,"lat:37.79256812, long:-105.5919572",$25.00,Entrance - Private Vehicle,"Fees are charged only when the entrance station is open in the spring, summer, and fall seasons or when the visitor center is open in the winter season. Fees can be paid by cash, check, or credit card. Passes may also be purchased in advance online through recreation.gov ."
grsa,CO,Great Sand Dunes National Park & Preserve,National Park & Preserve,37.79256812,-105.5919572,"lat:37.79256812, long:-105.5919572",$15.00,Entrance - Non-commercial Groups,"15+ passenger vehicle, age 16+"
grsa,CO,Great Sand Dunes National Park & Preserve,National Park & Preserve,37.79256812,-105.5919572,"lat:37.79256812, long:-105.5919572",$20.00,Entrance - Motorcycle,"Motorcycle and riders
Valid up to 7 days"
grsa,CO,Great Sand Dunes National Park & Preserve,National Park & Preserve,37.79256812,-105.5919572,"lat:37.79256812, long:-105.5919572",$25.00,Commercial Entrance - Sedan,This fee is for a commercial group of 1-6 people in a smaller vehicle. Valid for 7 days.
grsa,CO,Great Sand Dunes National Park & Preserve,National Park & Preserve,37.79256812,-105.5919572,"lat:37.79256812, long:-105.5919572",$40.00,Commercial Entrance - Van,This fee is for a commercial group of 7-15 persons in a van. Valid for 7 days.
grsa,CO,Great Sand Dunes National Park & Preserve,National Park & Preserve,37.79256812,-105.5919572,"lat:37.79256812, long:-105.5919572",$40.00,Commercial Entrance - Mini-bus,This fee is for a commercial group of 16-25 persons in a mini-bus. Valid for 7 days.
grsa,CO,Great Sand Dunes National Park & Preserve,National Park & Preserve,37.79256812,-105.5919572,"lat:37.79256812, long:-105.5919572",$100.00,Commercial Entrance - Motor Coach,This fee is for a commercial motor coach with 26+ capacity. Valid for 7 days.
grsa,CO,Great Sand Dunes National Park & Preserve,National Park & Preserve,37.79256812,-105.5919572,"lat:37.79256812, long:-105.5919572",$15.00,Entrance - Per Person,Entrance Fee for Bicycles or Walk-In Visitors
hove,"CO,UT",Hovenweep National Monument,National Monument,37.39134092,-109.0047977,"lat:37.39134092, long:-109.0047977",$20.00,Entrance - Private Vehicle,Entry fee is valid for 7 days and grants entry for driver and passengers in one private vehicle. Does not cover camping costs.
hove,"CO,UT",Hovenweep National Monument,National Monument,37.39134092,-109.0047977,"lat:37.39134092, long:-109.0047977",$15.00,Entrance - Motorcycle,"Entry fee admits one private, non-commercial motorcycle and its rider(s). Each motorcycle must purchase separate entry fee. Entry fee is valid for 7 days."
hove,"CO,UT",Hovenweep National Monument,National Monument,37.39134092,-109.0047977,"lat:37.39134092, long:-109.0047977",$10.00,Entrance - Per Person,Admits one individual with no car. This fee type is typically used for bicyclists and pedestrians. Youth 15 and under are admitted free. Entry fee is valid for 7 days.
meve,CO,Mesa Verde National Park,National Park,37.23908345,-108.4624032,"lat:37.23908345, long:-108.4624032",$30.00,Entrance - Private Vehicle,This pass if good for 7 days.
meve,CO,Mesa Verde National Park,National Park,37.23908345,-108.4624032,"lat:37.23908345, long:-108.4624032",$25.00,Entrance - Motorcycle,This pass is good for 7 days.
meve,CO,Mesa Verde National Park,National Park,37.23908345,-108.4624032,"lat:37.23908345, long:-108.4624032",$15.00,Entrance - Per Person,This pass is good for 7 days.
meve,CO,Mesa Verde National Park,National Park,37.23908345,-108.4624032,"lat:37.23908345, long:-108.4624032",$20.00,Entrance - Private Vehicle,"Purchase digital park entrance passes on recreation.gov at no additional cost. Once purchased, passes for Mesa Verde National Park must be printed or saved on your mobile device prior to use. Connectivity is limited in the park, therefore printing the permit or saving it on your phone is highly recommended.

Passes, including the America the Beautiful, National Parks & Federal Recreational Lands Passes, such as the Annual, Access, or Senior pass may be purchased at the entrance station upon arrival."
meve,CO,Mesa Verde National Park,National Park,37.23908345,-108.4624032,"lat:37.23908345, long:-108.4624032",$15.00,Entrance - Per Person,"Purchase digital park entrance passes on recreation.gov at no additional cost. Once purchased, passes for Mesa Verde National Park must be printed or saved on your mobile device prior to use. Connectivity is limited in the park, therefore printing the permit or saving it on your phone is highly recommended.

Passes, including the America the Beautiful, National Parks & Federal Recreational Lands Passes, such as the Annual, Access, or Senior pass may be purchased at the entrance station upon arrival."
meve,CO,Mesa Verde National Park,National Park,37.23908345,-108.4624032,"lat:37.23908345, long:-108.4624032",$15.00,Entrance - Motorcycle,This pass is good for 7 days.
romo,CO,Rocky Mountain National Park,National Park,40.3556924,-105.6972879,"lat:40.3556924, long:-105.6972879",$30.00,Entrance - Private Vehicle,1-Day Vehicle Entrance Pass. This pass is valid for one private vehicle to enter RMNP for one day only. All passengers inside the vehicle are covered. Park entrance passes may be purchased in person at any of the park's entrance stations or in advance online at www.recreation.gov.
romo,CO,Rocky Mountain National Park,National Park,40.3556924,-105.6972879,"lat:40.3556924, long:-105.6972879",$35.00,Entrance - Private Vehicle,7-Day Vehicle Entrance Pass. This vehicle entrance pass is valid for one vehicle to enter RMNP for 7 consecutive days. All passengers inside the vehicle are covered. Park entrance passes may be purchased in person at the any of the park's entrance stations or in advance online at www.recreation.gov.
romo,CO,Rocky Mountain National Park,National Park,40.3556924,-105.6972879,"lat:40.3556924, long:-105.6972879",$15.00,Entrance - Per Person,"1-Day Per Person Entrance Pass. This park entrance fee is for individuals, walk-ins, bicycles, and non-commercial groups to enter RMNP for 1-day only. Park entrance passes may be purchased in person at the any of the park's entrance stations or in advance online at www.recreation.gov."
romo,CO,Rocky Mountain National Park,National Park,40.3556924,-105.6972879,"lat:40.3556924, long:-105.6972879",$25.00,Entrance - Motorcycle,1-Day Motorcycle Entrance Pass. This pass is valid for one private motorcycle to enter RMNP for one day only. One pass is good for one motorcycle (including all riders). Park entrance passes may be purchased in person at the any of the park's entrance stations or in advance online at www.recreation.gov.
romo,CO,Rocky Mountain National Park,National Park,40.3556924,-105.6972879,"lat:40.3556924, long:-105.6972879",$30.00,Entrance - Motorcycle,7-Day Motorcycle Entrance Pass. This park entrance pass is valid for one motorcycle to enter RMNP for 7 consecutive days (including all riders). Park entrance passes may be purchased in person at the any of the park's entrance stations or in advance online at www.recreation.gov.
romo,CO,Rocky Mountain National Park,National Park,40.3556924,-105.6972879,"lat:40.3556924, long:-105.6972879",$20.00,Entrance - Per Person,"7-Day Per Person Entrance Pass. This park entrance fee is for individuals, walk-ins, bicycles, and non-commercial groups to enter RMNP for 7 consecutive days. Park entrance passes may be purchased in person at the any of the park's entrance stations or in advance online at www.recreation.gov."
sand,CO,Sand Creek Massacre National Historic Site,National Historic Site,38.56414189,-102.5169542,"lat:38.56414189, long:-102.5169542",$0.00,No Fee,This location does not charge an entrance fee.
safe,"CO,KS,MO,NM,OK",Santa Fe National Historic Trail,National Historic Trail,37.7276522226,-99.921969227,"lat:37.7276522226, long:-99.921969227",$0.00,No Fee,This location does not charge an entrance fee.
yuho,CO,Yucca House National Monument,National Monument,37.24778944,-108.6861274,"lat:37.24778944, long:-108.6861274",$0.00,No Fee,This location does not charge an entrance fee.
appa,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV",Appalachian National Scenic Trail,National Scenic Trail,40.41029575,-76.4337548,"lat:40.41029575, long:-76.4337548",$0.00,No Fee,This location does not charge an entrance fee.
colt,CT,Coltsville National Historical Park,National Historical Park,42.4677505493,-73.203666687,"lat:42.4677505493, long:-73.203666687",$0.00,No Fee,This location does not charge an entrance fee.
neen,"MA,CT",New England National Scenic Trail,National Scenic Trail,42.2915819137,-72.5242767334,"lat:42.2915819137, long:-72.5242767334",$0.00,No Fee,This location does not charge an entrance fee.
waro,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC",Washington-Rochambeau Revolutionary Route National Historic Trail,National Historic Trail,40.0958204557,-74.8563515109,"lat:40.0958204557, long:-74.8563515109",$0.00,No Fee,This location does not charge an entrance fee.
wefa,CT,Weir Farm National Historical Park,National Historical Park,41.25886268,-73.45452542,"lat:41.25886268, long:-73.45452542",$0.00,No Fee,This location does not charge an entrance fee.
afam,DC,African American Civil War Memorial,,38.9166,-77.026,"lat:38.9166, long:-77.026",$0.00,No Fee,This location does not charge an entrance fee.
anac,DC,Anacostia Park,Park,38.8782,-76.9703,"lat:38.8782, long:-76.9703",$0.00,No Fee,This location does not charge an entrance fee.
bepa,DC,Belmont-Paul Women's Equality National Monument,National Monument,38.89231541,-77.00381882,"lat:38.89231541, long:-77.00381882",$0.00,No Fee,This location does not charge an entrance fee.
cahi,DC,Capitol Hill Parks,,38.889993,-76.990332,"lat:38.889993, long:-76.990332",$0.00,No Fee,This location does not charge an entrance fee.
cajo,"VA,MD,DE,DC,PA,NY",Captain John Smith Chesapeake National Historic Trail,National Historic Trail,38.971601,-76.483355,"lat:38.971601, long:-76.483355",$0.00,No Fee,This location does not charge an entrance fee.
cawo,DC,Carter G. Woodson Home National Historic Site,National Historic Site,38.91089286,-77.02431104,"lat:38.91089286, long:-77.02431104",$0.00,No Fee,This location does not charge an entrance fee.
choh,"DC,MD,WV",Chesapeake & Ohio Canal National Historical Park,National Historical Park,39.000283692,-77.2481399539,"lat:39.000283692, long:-77.2481399539",$20.00,Entrance - Private Vehicle,"Pass is for one private, non-commercial vehicle — passenger cars, pickup trucks, RVs and vans — and is valid at the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Maryland side of the Potomac River and Great Falls Park on the Virginia side of the Potomac River."
choh,"DC,MD,WV",Chesapeake & Ohio Canal National Historical Park,National Historical Park,39.000283692,-77.2481399539,"lat:39.000283692, long:-77.2481399539",$15.00,Entrance - Motorcycle,Pass is for one motorcycle and is valid at the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Maryland side of the Potomac River and at Great Falls Park on the Virginia side of the Potomac River.
choh,"DC,MD,WV",Chesapeake & Ohio Canal National Historical Park,National Historical Park,39.000283692,-77.2481399539,"lat:39.000283692, long:-77.2481399539",$10.00,Entrance - Per Person,Pass is for one person 16 years of age or older — entering on foot or by bicycle — and is valid at the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Maryland side of the Potomac River and at Great Falls Park on the Virginia side of the Potomac River.
choh,"DC,MD,WV",Chesapeake & Ohio Canal National Historical Park,National Historical Park,39.000283692,-77.2481399539,"lat:39.000283692, long:-77.2481399539",$0.00,Entrance - Education/Academic Groups,"Academic groups visiting the Great Falls area for a park ranger program have an automatic entrance fee waiver. Accredited academic institutions or groups coming to the Great Falls area of the park for a curriculum based visit, not attending a park ranger program must apply for an academic fee waiver. All materials must be provided in order to be considered. A fee waiver is not guaranteed. Allow up to two weeks for processing. Please email application to choh_educational_fee_waiver@nps.gov."
choh,"DC,MD,WV",Chesapeake & Ohio Canal National Historical Park,National Historical Park,39.000283692,-77.2481399539,"lat:39.000283692, long:-77.2481399539",$20.00,Entrance - Non-commercial Groups,"Includes church groups, college/school groups, scouts, service organizations, military, etc...
Vehicles with passenger capacity of fewer than 16 persons, $20 for the vehicle.
Vehicles with a passenger capacity of 16 or more persons, $10 per person age 16 and over.
Removal of seats from a vehicle does not then qualify for the lower rate. Age and pass exemptions apply.
The total fee charged for an Organized Non-Commercial Group will not exceed the $100 fee per vehicle."
choh,"DC,MD,WV",Chesapeake & Ohio Canal National Historical Park,National Historical Park,39.000283692,-77.2481399539,"lat:39.000283692, long:-77.2481399539",$100.00,Commercial Entrance - Motor Coach,The commercial pass is valid for date of purchase plus six days at the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Maryland side of the Potomac River. Please note that fees are based on vehicle capacity and not actual occupants.
choh,"DC,MD,WV",Chesapeake & Ohio Canal National Historical Park,National Historical Park,39.000283692,-77.2481399539,"lat:39.000283692, long:-77.2481399539",$40.00,Commercial Entrance - Van,The commercial pass is valid for date of purchase plus six days at the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Maryland side of the Potomac River. Please note that fees are based on vehicle capacity and not actual occupants.
choh,"DC,MD,WV",Chesapeake & Ohio Canal National Historical Park,National Historical Park,39.000283692,-77.2481399539,"lat:39.000283692, long:-77.2481399539",$40.00,Commercial Entrance - Mini-bus,The commercial pass is valid for date of purchase plus six days at the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Maryland side of the Potomac River. Please note that fees are based on vehicle capacity and not actual occupants.
choh,"DC,MD,WV",Chesapeake & Ohio Canal National Historical Park,National Historical Park,39.000283692,-77.2481399539,"lat:39.000283692, long:-77.2481399539",$25.00,Commercial Entrance - Sedan,The commercial pass is valid for date of purchase plus six days at the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Maryland side of the Potomac River. Please note that fees are based on vehicle capacity and not actual occupants.
cbpo,"DC,DE,MD,NY,PA,VA,WV",Chesapeake Bay,,38.971601,-76.483355,"lat:38.971601, long:-76.483355",$0.00,No Fee,This location does not charge an entrance fee.
cwdw,"DC,MD,VA",Civil War Defenses of Washington,,38.9644,-77.0292,"lat:38.9644, long:-77.0292",$0.00,No Fee,This location does not charge an entrance fee.
coga,DC,Constitution Gardens,,38.8909354,-77.04409306,"lat:38.8909354, long:-77.04409306",$0.00,No Fee,This location does not charge an entrance fee.
ddem,DC,Dwight D. Eisenhower Memorial,Memorial,38.8869476647,-77.018737554,"lat:38.8869476647, long:-77.018737554",$0.00,No Fee,This location does not charge an entrance fee.
foth,DC,Ford's Theatre,,38.89668819,-77.02577944,"lat:38.89668819, long:-77.02577944",$3.50,Timed Entry Reservation - Location,"Make your reservation on the Ford's Theatre Society website at the link below. The reservation includes a self-guided tour through the museum, Petersen House (the house where Lincoln died), and Aftermath exhibits. Because Ford's Theatre is an active theatre, some tours or tour elements may occasionally be unavailable. Free, same-day tickets may be available on a first-come, first-served basis at the Ford's Theatre box office; supplies are limited."
fodu,DC,Fort Dupont Park,,38.87731289,-76.94955824,"lat:38.87731289, long:-76.94955824",$0.00,No Fee,This location does not charge an entrance fee.
frde,DC,Franklin Delano Roosevelt Memorial,,38.88341274,-77.04311542,"lat:38.88341274, long:-77.04311542",$0.00,No Fee,This location does not charge an entrance fee.
frdo,DC,Frederick Douglass National Historic Site,National Historic Site,38.86298458,-76.98508147,"lat:38.86298458, long:-76.98508147",$1.00,Timed Entry Reservation - Location,"The guided tour includes the upper and lower floors of the home and provides an intimate window into the life of Frederick Douglass.

Space on each tour is limited. You are strongly encouraged to make a reservation to secure your spot on a tour. While walk-ins without a reservation are permitted if space is available, tours are frequently completely full well in advance. Plan ahead and reserve your tour today!"
gwmp,"DC,MD,VA",George Washington Memorial Parkway,Memorial Parkway,38.9628,-77.1495,"lat:38.9628, long:-77.1495",$0.00,No Fee,This location does not charge an entrance fee.
keaq,DC,Kenilworth Park & Aquatic Gardens,,38.9128,-76.9434,"lat:38.9128, long:-76.9434",$0.00,No Fee,This location does not charge an entrance fee.
kowa,DC,Korean War Veterans Memorial,,38.88784226,-77.04773857,"lat:38.88784226, long:-77.04773857",$0.00,No Fee,This location does not charge an entrance fee.
lyba,DC,LBJ Memorial Grove on the Potomac,,38.87858036,-77.05145832,"lat:38.87858036, long:-77.05145832",$0.00,No Fee,This location does not charge an entrance fee.
linc,DC,Lincoln Memorial,,38.88927229,-77.05017778,"lat:38.88927229, long:-77.05017778",$0.00,No Fee,This location does not charge an entrance fee.
mlkm,DC,"Martin Luther King, Jr. Memorial",,38.8862276865,-77.0442195534,"lat:38.8862276865, long:-77.0442195534",$0.00,No Fee,This location does not charge an entrance fee.
mamc,DC,Mary McLeod Bethune Council House National Historic Site,National Historic Site,38.90819107,-77.03096742,"lat:38.90819107, long:-77.03096742",$0.00,No Fee,This location does not charge an entrance fee.
nace,DC,National Capital Parks-East,,38.8659,-76.994,"lat:38.8659, long:-76.994",$0.00,No Fee,This location does not charge an entrance fee.
nama,DC,National Mall and Memorial Parks,,38.8899,-77.026,"lat:38.8899, long:-77.026",$0.00,No Fee,This location does not charge an entrance fee.
paav,DC,Pennsylvania Avenue,,38.89426856,-77.02506554,"lat:38.89426856, long:-77.02506554",$0.00,No Fee,This location does not charge an entrance fee.
pohe,"DC,MD,PA,VA",Potomac Heritage National Scenic Trail,National Scenic Trail,39.15060133,-77.52301085,"lat:39.15060133, long:-77.52301085",$0.00,No Fee,This location does not charge an entrance fee.
rocr,DC,Rock Creek Park,Park,38.95125063,-77.05002838,"lat:38.95125063, long:-77.05002838",$0.00,No Fee,This location does not charge an entrance fee.
stsp,"MD,VA,DC",Star-Spangled Banner National Historic Trail,National Historic Trail,39.2872505188,-76.6034317017,"lat:39.2872505188, long:-76.6034317017",$0.00,No Fee,This location does not charge an entrance fee.
whho,DC,The White House and President's Park,,38.89541886,-77.03654147,"lat:38.89541886, long:-77.03654147",$0.00,No Fee,This location does not charge an entrance fee.
this,DC,Theodore Roosevelt Island,,38.89584162,-77.06241918,"lat:38.89584162, long:-77.06241918",$0.00,No Fee,This location does not charge an entrance fee.
thje,DC,Thomas Jefferson Memorial,,38.88101431,-77.03632572,"lat:38.88101431, long:-77.03632572",$0.00,No Fee,This location does not charge an entrance fee.
vive,DC,Vietnam Veterans Memorial,,38.89096297,-77.04765735,"lat:38.89096297, long:-77.04765735",$0.00,No Fee,This location does not charge an entrance fee.
wamo,DC,Washington Monument,,38.88948,-77.035207,"lat:38.88948, long:-77.035207",$1.00,Timed Entry Reservation - Park,"Advance reservations open 30 days before the tour date. Additional reservations open 24 hours in advance of the tour date. Advance reservations carry a $1 non-refundable processing fee. Free, same-day, walk-up reservations are available at the Washington Monument Lodge starting at 8:45 am. Maximum 6 tickets per customer. Tickets typically sell out.
Group tours must reserve in advance at recreation.gov, maximum 55 tickets. Same-day tickets are not available for group tours."
wwim,DC,World War I Memorial,,38.8959,-77.0329,"lat:38.8959, long:-77.0329",$0.00,No Fee,This location does not charge an entrance fee.
wwii,DC,World War II Memorial,,38.88923917,-77.0403759,"lat:38.88923917, long:-77.0403759",$0.00,No Fee,This location does not charge an entrance fee.
frst,"DE,PA",First State National Historical Park,National Historical Park,39.83076929,-75.56353942,"lat:39.83076929, long:-75.56353942",$0.00,No Fee,This location does not charge an entrance fee.
bicy,FL,Big Cypress National Preserve,National Preserve,25.97079602,-81.08120629,"lat:25.97079602, long:-81.08120629",$0.00,No Fee,This location does not charge an entrance fee.
bisc,FL,Biscayne National Park,National Park,25.490587,-80.21023851,"lat:25.490587, long:-80.21023851",$0.00,No Fee,This location does not charge an entrance fee.
cana,FL,Canaveral National Seashore,National Seashore,28.78637529,-80.75419576,"lat:28.78637529, long:-80.75419576",$25.00,Entrance - Private Vehicle,This fee is per vehicle.
casa,FL,Castillo de San Marcos National Monument,National Monument,29.89785701,-81.31217173,"lat:29.89785701, long:-81.31217173",$15.00,Entrance - Per Person,"The Castillo de San Marcos is considered to be a ""walk-in"" park. The entrance fee applies to each individual. Tickets are not transferable and cannot be given to other guests. Adults (Age 16 and above) entrance is $15.00 and valid for 7 consecutive days. Children (age 15 and under) are admitted free of charge but must be accompanied by an adult."
deso,FL,De Soto National Memorial,National Memorial,27.52272613,-82.64335416,"lat:27.52272613, long:-82.64335416",$0.00,No Fee,This location does not charge an entrance fee.
drto,FL,Dry Tortugas National Park,National Park,24.628741,-82.87319,"lat:24.628741, long:-82.87319",$15.00,Entrance - Per Person,"The entrance fee for Dry Tortugas National Park is $15.00 per person and is good for 7 consecutive days. Any person 15 years old and under is exempt from paying an entrance fees (including international visitors).

Ferry tickets include the cost of entrance to the park, but NOT camping fees.

Seaplane will charge the entrance fee upon arrival. Plan to bring cash for each person aged 16-years of age and older.

Private boaters may purchase a digital pass in advance or pay cash/check at Garden Key main dock."
ever,FL,Everglades National Park,National Park,25.37294225,-80.88200301,"lat:25.37294225, long:-80.88200301",$35.00,Entrance - Private Vehicle,Admits the passholder and passengers of a single vehicle or vessel. Good for 7 consecutive days at all park entrances.
